AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
9.3779,1020.1,90.262,2.3927,19.166,1043.6,541.16,110.16,10.564,9.3472,98.741
9.2985,1019.9,89.934,2.3732,19.119,1039.9,538.94,109.23,10.572,11.016,104.29
9.1337,1019.8,89.868,2.3854,19.178,1041,539.47,109.62,10.543,10.75,103.47
8.9715,1019.3,89.49,2.3825,19.18,1037.1,536.89,108.88,10.458,12.287,108.81
9.0157,1019.1,89.099,2.4044,19.206,1043.5,541.25,110.09,10.464,9.8229,100.02
9.0465,1019,88.783,2.3826,19.304,1042.5,540.14,110.23,10.461,10.336,96.442
8.8649,1019,88.853,2.4237,19.269,1043.5,540.87,110.53,10.48,9.8101,97.125
8.9862,1019.2,88.76,2.4409,19.446,1043.7,540.65,110.61,10.475,9.4641,93.059
8.9956,1019.5,88.624,2.3959,19.217,1037.3,536.89,109.03,10.463,11.877,107.44
8.9836,1019.6,88.561,2.4067,19.14,1039.7,538.61,109.28,10.451,10.587,107.68
9.175,1019.7,88.01,2.4123,19.171,1037.7,537.38,108.71,10.439,11.754,109.92
9.6743,1019.2,87.943,2.6775,21.565,1064,545.71,121.7,11.139,5.3452,85.054
10.222,1018.7,85.353,2.9358,23.758,1084.1,550.02,132.96,11.782,1.2288,74.717
10.446,1018.2,84.241,2.9752,24.087,1085.8,549.94,134.19,11.927,1.2025,74.572
10.613,1018.3,83.585,2.9881,24.168,1085.9,550.01,134.33,11.956,1.5994,75.285
10.648,1018.3,83.569,2.9675,24.205,1086.2,550.01,134.55,11.945,1.6845,77.765
10.497,1018.4,84.474,2.9819,24.311,1086.9,549.9,135.2,11.855,1.5631,74.704
10.307,1018.5,85.198,2.9466,23.949,1084.8,550.07,133.72,11.835,1.6812,74.936
10.058,1018.8,86.008,2.9182,23.774,1084.3,550.15,133.28,11.731,1.7324,74.497
9.9999,1019.1,86.862,2.8291,22.92,1072.8,546.07,127.52,11.484,2.2109,82.702
9.8025,1019.2,86.946,2.4141,19.377,1038.7,538.09,109.26,10.52,10.703,101.11
9.7671,1019.3,88.491,2.4144,19.299,1037.6,537.79,108.48,10.555,12.231,104.09
9.9573,1019.4,89.105,2.9147,23.88,1083.8,549.89,133.02,11.844,2.2008,75.962
10.14,1019.5,88.622,2.9467,24.112,1085.4,550,134.06,11.884,1.5388,74.513
10.153,1019.3,88.795,2.9202,23.807,1083.8,549.94,132.81,11.772,1.9391,74.557
10.092,1019.1,89.509,2.4281,19.548,1034.1,534.52,108.46,10.473,12.502,97.766
10.166,1019.4,89.414,2.4152,19.354,1036.2,536.48,108.38,10.418,12.513,103.11
10.178,1019.4,88.92,2.4019,19.207,1040.5,539.94,108.66,10.403,11.065,105.86
10.097,1019.5,89.333,2.3934,19.271,1042,540.77,109.08,10.407,11.058,102.62
10.062,1019.5,88.352,2.3926,19.301,1040.9,540.03,109.03,10.412,10.995,98.788
10.005,1019.7,88.233,2.4149,19.395,1040.2,539.02,109.23,10.451,11.238,96.214
9.9468,1020,88.765,2.4483,19.281,1037.5,537.43,108.38,10.557,10.664,110.88
10.002,1020.5,89.082,2.9287,24.021,1084.9,550.13,133.8,11.877,1.9702,74.514
10.212,1020.9,90.721,2.998,24.375,1086.9,550.03,135.3,11.921,1.612,74.406
10.709,1021.2,91.001,2.9698,24.366,1086.8,550.12,135,11.844,1.7877,74.619
11.361,1021.3,90.257,2.9838,24.285,1086.2,549.94,134.47,11.843,1.4215,75.16
11.385,1021,90.47,2.9837,24.396,1086.9,550,134.99,11.842,1.2972,75.942
11.636,1021,89.907,2.9696,24.24,1086.1,550.06,134.3,11.943,1.859,76.213
11.616,1021.4,89.929,2.9722,24.063,1085.4,549.99,133.86,11.896,1.873,72.875
11.347,1021.6,90.622,2.9726,24.224,1086.5,550.06,134.82,11.94,1.7353,73.401
11.212,1021.9,91.365,2.9808,24.105,1085.7,549.92,134.26,11.78,1.7842,72.576
11.025,1022.4,92.01,2.9796,24.334,1086.8,549.93,135.2,11.877,1.6639,70.583
11.075,1022.9,91.736,2.9672,24.183,1086,549.83,134.41,11.866,2.2323,71.273
11.207,1023.3,91.121,2.9573,24.216,1086.1,550.07,134.49,11.845,1.6238,70.291
11.116,1023.8,91.464,2.9908,24.051,1085.2,550.12,133.83,11.894,2.1906,72.247
11.065,1024,92.12,2.987,24.151,1085.9,549.76,134.22,11.945,1.8963,70.738
11.058,1024.1,92.464,2.9821,24.102,1085.7,549.78,134.02,11.918,1.8312,71.614
11.072,1024.3,92.539,2.9667,24.072,1085.5,549.81,133.79,11.901,2.3623,74.145
11.298,1024.3,91.246,2.9524,24.11,1085.9,550.07,134.01,11.901,2.0752,74.198
11.208,1024.8,91.335,2.9783,24.117,1086.1,550.11,134.19,11.827,1.8299,74.022
11.018,1025.3,92.433,2.4519,19.742,1037.4,535.55,109.43,10.572,13.05,93.818
11.117,1025.4,92.315,2.4309,19.335,1043,540.77,109.36,10.495,10.936,93.377
11.227,1025.3,91.631,2.4395,19.323,1043.7,541.39,109.31,10.481,10.925,94.357
11.066,1025.3,92.353,2.4602,19.378,1046.4,542.99,110,10.468,9.5175,92.316
10.939,1025.8,91.885,2.4815,19.403,1043.7,540.97,109.77,10.465,10.63,93.735
10.772,1026.4,91.225,2.9405,23.987,1085.9,549.94,134.14,11.881,1.8162,75.431
10.548,1026.7,91.415,2.9532,24.106,1087.2,549.96,135.1,11.895,1.9498,75.332
10.331,1027.2,92.237,2.9239,23.909,1086.2,550.02,134.28,11.851,2.353,77.03
10.498,1027.7,91.008,2.9103,23.642,1084.6,549.92,132.97,11.898,2.1934,76.908
