hours_from_onset,nox_ppm,co_ppm,tit_c,tey_mw
-6,67.7,2.2,1078.33,132.87
-5,68.51,2.51,1076.01,130.86
-4,68.98,2.55,1075.26,130.18
-3,69.09,2.61,1074.27,129.1
-2,69.19,2.68,1072.82,127.85
-1,70.64,3.26,1066.91,123.2
0,80.08,7.29,1043.25,108.44
1,77.24,5.92,1052.27,114.31
2,75.55,5.08,1058.91,119.0
3,74.09,4.27,1064.43,122.88
4,72.6,3.64,1069.64,126.53
5,70.86,3.3,1074.16,130.5
6,69.81,2.78,1077.38,133.17
7,68.91,2.42,1079.57,134.77
8,68.58,2.38,1080.39,135.49
9,67.8,2.15,1081.55,136.67
10,67.78,2.0,1083.02,137.61
11,67.46,2.05,1082.43,137.17
12,67.23,2.02,1082.41,137.0
