co_ppm,nox_detrended_ppm,tit_c,tey_mw,regime
0.965,56.393,1099.8,151.7,high_fire
0.585,65.544,1099.3,144.18,high_fire
10.934,103.482,1046.9,112.37,part_load
5.837,58.862,1088.2,133.13,normal
1.051,59.995,1079.8,133.96,normal
6.527,79.639,1048.2,104.64,part_load
1.536,62.514,1087.9,132.92,normal
13.535,102.729,1037.3,109.22,part_load
10.591,83.782,1025.5,106.36,part_load
1.76,71.595,1099.9,146.86,high_fire
1.991,59.934,1063.0,123.64,transition
1.201,78.474,1100.0,158.83,high_fire
4.025,65.435,1051.5,110.36,transition
0.725,57.524,1100.0,158.49,high_fire
1.836,56.351,1084.6,132.71,normal
1.81,77.542,1100.1,148.93,high_fire
1.271,68.957,1094.0,134.41,normal
6.43,68.34,1052.3,110.39,transition
0.672,71.256,1100.0,156.76,high_fire
18.208,84.566,1031.2,108.82,part_load
2.386,59.352,1073.4,119.39,transition
1.201,73.832,1100.0,162.54,high_fire
10.362,96.375,1042.8,110.31,part_load
1.295,70.2,1100.1,151.03,high_fire
2.068,64.007,1073.0,127.57,transition
4.605,56.654,1055.7,108.98,transition
2.999,57.035,1041.0,110.92,part_load
1.663,67.661,1082.2,133.66,normal
11.264,100.396,1038.7,109.41,part_load
6.491,79.413,1038.5,107.67,part_load
6.632,71.369,1049.9,108.4,part_load
5.033,71.066,1047.5,110.31,part_load
0.641,73.79,1094.7,134.04,normal
1.754,73.171,1099.9,153.94,high_fire
3.862,68.245,1071.8,128.71,transition
5.027,86.204,1040.5,106.17,part_load
2.866,74.991,1058.8,119.82,transition
1.04,65.782,1093.0,142.82,normal
0.485,53.658,1099.9,169.23,high_fire
1.665,67.308,1080.8,133.26,normal
2.932,63.177,1100.0,170.0,high_fire
8.795,77.249,1049.5,113.55,part_load
1.859,64.204,1061.6,120.41,transition
11.467,94.995,1039.4,103.98,part_load
1.623,59.179,1080.2,134.69,normal
11.833,96.807,1033.8,102.21,part_load
5.459,71.776,1047.7,109.82,part_load
1.093,67.052,1099.9,152.67,high_fire
1.224,58.066,1079.1,133.1,normal
2.004,64.285,1089.6,133.1,normal
12.82,86.961,1037.4,109.21,part_load
1.754,60.944,1100.1,146.87,high_fire
9.81,88.181,1043.5,110.53,part_load
2.238,62.909,1063.9,122.83,transition
1.916,62.202,1067.5,126.16,transition
0.765,60.949,1080.2,128.78,normal
0.901,74.634,1100.0,161.72,high_fire
1.7,64.235,1078.5,128.09,normal
1.227,68.657,1100.0,155.3,high_fire
1.278,57.842,1099.9,162.9,high_fire
0.773,65.14,1100.0,158.86,high_fire
4.66,56.095,1054.7,110.23,transition
1.955,65.686,1061.5,120.76,transition
3.091,73.647,1069.5,120.02,transition
3.426,68.057,1046.8,109.04,part_load
3.35,65.793,1062.8,122.51,transition
0.878,57.006,1099.9,158.16,high_fire
12.113,100.976,1038.7,103.38,part_load
5.212,64.49,1063.8,118.17,transition
2.549,52.528,1040.6,106.62,part_load
1.84,66.488,1082.6,130.02,normal
6.111,67.688,1031.5,103.89,part_load
1.398,65.244,1100.0,148.02,high_fire
1.54,67.613,1078.8,128.0,normal
11.444,90.099,1045.4,109.2,part_load
1.408,57.686,1082.3,128.53,normal
5.802,70.521,1049.2,110.02,part_load
2.138,58.731,1069.1,121.18,transition
11.851,93.253,1049.5,115.72,part_load
0.199,46.831,1100.0,155.03,high_fire
11.187,101.179,1041.7,108.35,part_load
1.431,57.634,1077.6,134.3,normal
4.853,67.787,1047.7,110.11,part_load
6.527,99.201,1048.2,109.64,part_load
11.05,94.312,1042.0,108.46,part_load
5.869,74.722,1045.7,109.19,part_load
1.72,66.704,1099.8,145.17,high_fire
2.515,54.366,1056.6,109.03,transition
1.792,52.772,1053.9,109.44,transition
1.722,70.527,1087.8,133.72,normal
1.41,62.2,1085.8,133.12,normal
1.44,57.63,1100.0,158.83,high_fire
7.691,73.138,1031.2,103.75,part_load
1.106,49.146,1056.5,118.47,transition
3.091,53.832,1042.5,108.53,part_load
4.578,54.02,1059.3,110.63,transition
1.673,77.093,1100.0,152.3,high_fire
1.628,59.123,1085.9,133.16,normal
1.558,63.173,1081.1,131.84,normal
2.027,68.638,1091.0,133.22,normal
1.971,62.656,1077.0,127.69,normal
1.302,67.519,1099.9,158.4,high_fire
1.652,55.942,1100.1,162.67,high_fire
0.284,53.151,1097.3,154.5,high_fire
1.496,64.652,1099.9,149.42,high_fire
0.775,64.272,1100.0,152.37,high_fire
0.481,51.575,1100.0,161.11,high_fire
1.888,66.883,1091.4,133.33,normal
1.091,65.345,1100.0,146.61,high_fire
5.28,61.105,1054.8,110.67,transition
1.955,53.482,1099.8,156.86,high_fire
4.868,65.223,1044.5,108.07,part_load
5.187,75.12,1045.9,110.58,part_load
1.672,61.229,1091.4,143.33,normal
1.541,60.975,1077.2,127.68,normal
8.367,81.147,1036.8,104.39,part_load
1.202,58.294,1091.8,133.21,normal
0.892,73.217,1100.0,152.79,high_fire
4.194,67.833,1053.0,113.57,transition
1.218,71.23,1095.8,145.57,high_fire
1.316,65.644,1099.9,154.99,high_fire
4.813,71.086,1049.2,109.72,part_load
1.368,66.779,1100.1,150.75,high_fire
0.861,62.348,1085.5,133.91,normal
1.252,61.56,1100.0,155.93,high_fire
4.428,55.746,1057.2,109.39,transition
1.706,64.46,1081.4,133.86,normal
1.106,59.603,1100.1,156.44,high_fire
2.08,75.299,1090.2,132.83,normal
1.626,56.125,1048.1,112.99,part_load
1.353,55.956,1099.9,160.18,high_fire
0.013,95.458,1024.0,107.11,part_load
12.287,99.927,1037.1,108.88,part_load
1.158,61.933,1100.0,146.85,high_fire
7.236,82.909,1031.1,104.22,part_load
2.829,56.294,1100.0,158.55,high_fire
0.111,81.564,1079.6,135.53,normal
0.742,55.883,1100.0,148.87,high_fire
1.348,69.474,1098.2,146.15,high_fire
9.894,102.393,1044.6,111.08,part_load
0.591,58.583,1081.5,128.28,normal
3.112,62.129,1062.9,111.9,transition
4.632,58.901,1057.1,109.63,transition
1.876,49.362,1048.5,111.84,part_load
1.426,62.681,1100.1,148.91,high_fire
6.716,88.646,1038.0,108.91,part_load
1.498,68.51,1099.8,148.14,high_fire
8.572,76.753,1045.3,109.05,part_load
1.558,59.806,1086.3,133.72,normal
6.971,85.215,1035.3,107.95,part_load
3.185,60.918,1045.3,112.12,part_load
1.596,65.943,1084.1,134.42,normal
25.977,96.02,1013.9,102.66,part_load
1.323,66.667,1099.9,154.36,high_fire
6.898,95.314,1035.6,105.12,part_load
2.557,53.681,1041.9,107.57,part_load
1.132,58.863,1079.5,134.84,normal
9.785,90.604,1028.1,106.3,part_load
2.408,51.711,1044.9,107.81,part_load
2.302,67.962,1099.8,155.92,high_fire
12.659,94.619,1038.8,110.2,part_load
2.075,63.995,1087.0,134.35,normal
0.63,67.776,1099.9,154.45,high_fire
1.842,48.22,1044.4,109.9,part_load
1.548,66.654,1080.5,133.1,normal
5.954,66.566,1054.1,110.28,transition
1.355,61.991,1100.1,146.23,high_fire
1.703,57.658,1044.0,110.13,part_load
2.361,55.168,1056.6,119.52,transition
1.346,62.194,1082.2,130.95,normal
6.0,66.568,1058.4,118.5,transition
10.893,88.882,1025.7,103.41,part_load
5.98,77.849,1043.0,109.79,part_load
0.727,70.846,1100.0,154.74,high_fire
2.098,69.585,1062.6,121.24,transition
1.068,66.551,1100.0,153.72,high_fire
1.231,61.351,1100.0,157.46,high_fire
0.389,50.214,1099.7,166.25,high_fire
2.925,49.877,1061.3,109.78,transition
1.204,67.607,1100.0,153.19,high_fire
2.845,68.859,1100.0,150.79,high_fire
1.732,66.655,1100.0,147.7,high_fire
2.628,70.798,1083.4,132.23,normal
3.809,67.966,1059.7,116.46,transition
4.933,72.23,1047.2,108.11,part_load
4.032,58.969,1046.9,104.76,part_load
1.559,53.879,1077.7,133.45,normal
0.469,57.653,1099.9,161.47,high_fire
1.668,68.421,1099.9,160.99,high_fire
5.601,72.31,1043.6,108.0,part_load
1.914,57.348,1081.8,131.42,normal
2.112,62.805,1069.9,122.3,transition
9.012,89.774,1030.8,109.04,part_load
5.475,67.625,1047.9,110.43,part_load
5.398,58.586,1051.0,107.65,transition
0.727,58.849,1097.0,140.37,high_fire
3.435,74.464,1100.1,165.62,high_fire
1.228,62.098,1090.1,134.48,normal
4.77,56.055,1057.5,110.2,transition
0.111,53.065,1099.9,165.16,high_fire
5.088,72.591,1048.5,110.99,part_load
1.128,64.463,1099.9,151.79,high_fire
1.588,60.215,1099.9,147.08,high_fire
2.127,72.406,1073.3,123.9,transition
1.043,54.004,1074.7,130.94,transition
2.168,60.786,1082.4,131.49,normal
1.841,59.779,1080.3,130.88,normal
1.976,62.66,1077.9,129.03,normal
4.564,67.132,1066.1,120.89,transition
2.008,58.448,1071.0,120.61,transition
1.147,59.668,1100.1,153.78,high_fire
5.581,69.675,1048.7,108.97,part_load
4.362,87.097,1046.2,109.02,part_load
9.139,86.344,1047.7,112.24,part_load
3.928,63.517,1061.9,114.8,transition
17.098,82.93,1033.7,109.7,part_load
4.863,71.335,1049.2,109.6,part_load
11.05,95.406,1039.9,108.94,part_load
3.312,72.585,1048.7,111.45,part_load
1.635,65.624,1064.9,122.93,transition
0.991,71.374,1099.8,162.22,high_fire
2.3,57.967,1055.8,111.4,transition
3.074,64.725,1066.1,115.77,transition
1.859,70.952,1080.5,134.71,normal
1.513,62.203,1086.9,134.34,normal
1.108,77.435,1081.0,135.29,normal
2.334,67.822,1067.6,122.31,transition
1.287,68.022,1081.4,134.35,normal
2.116,68.474,1088.8,133.73,normal
5.395,67.37,1051.1,110.26,transition
2.371,61.716,1069.1,121.4,transition
4.573,61.539,1052.8,111.0,transition
0.927,69.122,1094.2,135.15,normal
5.294,68.898,1048.8,110.02,part_load
1.043,69.247,1094.3,134.39,normal
0.876,69.027,1099.9,145.4,high_fire
3.074,51.577,1061.3,109.62,transition
1.916,58.829,1071.3,122.51,transition
0.73,70.038,1100.0,154.95,high_fire
4.88,54.212,1036.2,104.36,part_load
8.659,84.422,1046.8,109.93,part_load
1.981,65.351,1077.9,128.17,normal
12.067,88.978,1034.7,110.19,part_load
1.487,67.108,1099.8,148.56,high_fire
0.683,62.853,1098.6,144.08,high_fire
3.412,56.893,1071.9,122.19,transition
10.635,89.597,1034.6,103.9,part_load
4.697,53.533,1057.9,110.68,transition
1.313,69.162,1077.7,134.69,normal
0.718,77.369,1100.0,155.64,high_fire
8.203,89.696,1038.5,104.28,part_load
0.808,62.667,1100.0,148.91,high_fire
1.481,79.802,1090.4,145.84,normal
5.324,62.999,1042.9,103.58,part_load
2.24,67.208,1078.9,134.31,normal
1.476,61.085,1083.7,134.02,normal
0.959,56.368,1063.0,121.66,transition
1.443,63.724,1085.9,133.56,normal
2.269,64.885,1073.3,121.45,transition
1.76,58.125,1084.9,127.88,normal
0.971,62.786,1085.8,134.14,normal
1.045,49.569,1099.9,168.54,high_fire
2.28,59.737,1071.9,123.38,transition
1.517,70.876,1100.0,158.69,high_fire
1.639,68.792,1081.1,135.28,normal
1.264,64.077,1092.4,134.09,normal
7.915,71.03,1049.8,109.7,part_load
2.02,57.044,1083.6,132.25,normal
11.549,74.749,1046.0,114.1,part_load
1.997,53.506,1079.0,134.61,normal
3.806,54.479,1056.7,108.9,transition
4.356,61.219,1054.6,111.4,transition
1.125,63.326,1100.0,148.13,high_fire
1.564,54.969,1080.7,135.93,normal
8.374,77.054,1047.5,108.72,part_load
4.26,48.846,1058.0,108.83,transition
1.799,118.613,1098.9,141.34,high_fire
1.88,82.403,1100.0,153.52,high_fire
5.569,69.764,1048.0,109.64,part_load
0.996,67.379,1098.7,157.97,high_fire
4.444,56.172,1054.3,109.01,transition
3.151,58.175,1067.1,116.16,transition
3.903,60.495,1063.6,115.1,transition
3.394,54.988,1059.1,109.18,transition
1.516,64.546,1100.0,153.88,high_fire
4.71,50.313,1058.7,109.59,transition
11.269,86.968,1042.3,110.59,part_load
1.476,70.959,1092.1,133.05,normal
10.843,107.249,1035.7,102.67,part_load
