start_hour,mid_hour,median_nox_ppm,q25_nox_ppm,q75_nox_ppm,mean_co_ppm,mean_at_c,mean_tey_mw,n_hours,period_index,year
0,297.5,75.64,72.1,80.04,2.77,10.57,138.53,596,1,1
596,893.5,78.19,72.2,83.35,3.08,10.07,136.49,596,2,1
1192,1489.5,79.93,75.1,88.18,3.89,12.15,131.62,596,3,1
1788,2085.5,71.1,65.56,80.09,3.4,13.99,128.67,596,4,1
2384,2681.5,68.85,65.83,72.29,2.87,17.42,128.38,596,5,1
2980,3277.5,64.27,61.0,67.56,2.27,21.94,127.78,596,6,1
3576,3873.5,61.54,57.8,64.11,3.49,24.3,127.64,596,7,1
4172,4469.5,59.03,53.39,63.91,2.43,25.88,125.14,596,8,1
4768,5065.5,56.78,51.89,61.84,2.6,26.57,125.7,596,9,1
5364,5661.5,70.74,63.68,78.66,2.65,20.07,131.73,596,10,1
5960,6257.5,71.89,64.08,76.03,1.35,16.39,144.5,596,11,1
6556,6853.5,68.61,64.81,73.02,1.87,11.89,139.83,596,12,1
7152,7449.5,66.27,61.22,78.06,1.88,10.78,131.87,596,13,2
7748,8045.5,62.03,59.96,65.46,1.56,11.44,135.49,596,14,2
8344,8641.5,62.5,60.85,64.81,1.46,13.34,135.01,596,15,2
8940,9237.5,63.05,60.93,65.82,2.08,16.87,132.82,596,16,2
9536,9833.5,60.42,58.14,63.09,1.9,20.01,139.53,596,17,2
10132,10429.5,53.53,50.27,56.74,2.04,23.17,132.93,596,18,2
10728,11025.5,50.19,45.97,52.84,1.71,25.37,130.23,596,19,2
11324,11621.5,49.5,47.03,52.15,2.15,27.12,127.14,596,20,2
11920,12217.5,53.84,51.63,55.3,1.89,25.08,136.06,596,21,2
12516,12813.5,57.13,55.04,61.86,2.95,20.2,131.21,596,22,2
13112,13409.5,59.35,56.66,68.58,2.57,15.32,129.42,596,23,2
13708,14005.5,66.56,61.05,72.95,2.76,10.05,133.2,596,24,2
